metric,metricType,metricDisplayName,metricExplanatory,parentKPI,Category,SunburstCode,SunburstWeight,normalBottom,normalTop,lowBottom,lowTop,midBottom,midTop,highBottom,highTop
csMos,KPI,CS MOS (#),"This KPI indicates the Average Circuit Switch MOS on a range of 1-5.   It is a measure of customer opinion, with 5 representing the highest customer experience.",QOE,Integrity,,,,,,,,,,
stallTimeRate,KPI,Video Stall Time Rate (%),Percentage of time for which the video stalled of the total stream duration ,QOE,Integrity,,,,,,,,,,
tcpPacketLossRate,KPI,Data Packet Loss Rate (%),"This KPI indicates the packet loss rate which is a measure of the link integrity and is defined as the fraction of the total transmitted packets that did not arrive at the receiver.
",QOE,Integrity,,,0,0.9,1,2.4,2.5,4.9,5,100
tcpPacketRetransmissionRateDl,KPI,Data Packet Retransmission Rate DL (%),This KPI refers to the rate of retransmitted packets as observed on the core network for TCP or UDP connection during the download of content from the external PDN. ,QOE,Integrity,,,0,0.9,1,2.4,2.5,4.9,5,100
tcpPacketRetransmissionRateUl,KPI,Data Packet Retransmission Rate UL (%),This KPI refers to the rate of retransmitted packets as observed on the core network for a TCP or UDP connection during the upload of content from the external PDN,QOE,Integrity,,,0,0.9,1,2.4,2.5,4.9,5,100
voLteDropCallRate,KPI,vOLTE Dropped Calls (%),This KPI measures the percentage of calls that dropped during the connection (eg dropped),QOE,Integrity,,,,,,,,,,
voLteMos,KPI,voLTE MOS (#),"This KPI indicates the Average VOLTE MOS on a range of 1-5.   It is a measure of customer opinion, with 5 representing the highest customer experience.",QOE,Integrity,,,,,,,,,,
psHoDelay,KPI,PS Handover Delay (ms),This KPI indicates delay experienced when handing over between technologies or cells.,QOE,Mobility,,,0,99,100,249,250,499,500,1000
psHoSuccessRate,KPI,PS Handover Success Rate (%),This KPI indicates the percentage of handover requests that were successful.  Handover requests are when a subscriber moves around the network and changes from cell to technology,QOE,Mobility,,,95,100,90,94,75,89,0,74
psRauDelay,KPI,Routing Area Update Delay (s),"When roaming, this KPI indicates is the delay in updates to routing areas ",QOE,Mobility,,,0,99,100,249,250,499,500,1000
psRauSuccessRate,KPI,Routing Area Update Success Rate (%),"When roaming, this KPI represents the percentage of successful routing access updates",QOE,Mobility,,,95,100,95,94,75,89,0,74
psTauDelay,KPI,Tracking Area Update Delay (s),"When roaming, this is the delay in updates to Tracking Area",QOE,Mobility,,,0,99,100,249,250,499,500,1000
psTauSuccessRate,KPI,Tracking Area Update Success Rate (%),"When roaming, this is the percentage of successful tracking access updates",QOE,Mobility,,,95,100,90,94,75,89,0,74
psAttachDelay,KPI,PS Attachnent Delay (ms),"This KPI is the average time taken for a call to be connected to the packet switch network.  The higher the time taken, the lower the customer experience.",QOE,Network Accessibility,,,,,,,,,,
psAttachSuccessRate,KPI,PS Attachment Success Rate (%),This KPI is the percentage attach success rate for calls across the packet switch network.  This usually indicates network coverage and lower customer experience issues if low.,QOE,Network Accessibility,,,,,,,,,,
psInitialContextSetupDelay,KPI,PS Initial Context Setup Delay (ms),This KPI indicates the delay experienced when initially setting up context on network connection (like obtaining IP address),QOE,Network Accessibility,,,,,,,,,,
psInitialContextSetupSuccessRate,KPI,PS Initial Context Setup Success Rate (%),This KPI indicates the success rate of setting up context on network connection (like obtaining IP address),QOE,Network Accessibility,,,,,,,,,,
psPdpContextActivationDelay,KPI,Pdp Context Activation Delay,This KPI indicates the delay experienced when initially setting up context on network connection (like obtaining IP address),QOE,Network Accessibility,,,,,,,,,,
psPdpContextActivationSuccessRate,KPI,Pdp Context Activation SuccessRate,This KPI indicates the success rate of setting up context on network connection (like obtaining IP address),QOE,Network Accessibility,,,,,,,,,,
psS1mmeDedicatedEpsBearerContextActivationDelay,KPI,Dedicated Bearer Context Activation Delay (ms),Delay experienced when initially setting up context on network connection (like obtaining IP address),QOE,Network Accessibility,,,,,,,,,,
psS1mmeDedicatedEpsBearerContextActivationSuccessRate,KPI,Dedicated Bearer Context Activation Success Rate (%),Percentage of context setup requests that were successful,QOE,Network Accessibility,,,,,,,,,,
psS1mmeDefaultEpsBearerContextActivationDelay,KPI,Default Bearer Context Activation Delay (ms),Delay experienced when initially setting up context on network connection (like obtaining IP address),QOE,Network Accessibility,,,,,,,,,,
psS1mmeDefaultEpsBearerContextActivationSuccessRate,KPI,Default Bearer Context Activation Success Rate (%),Percentage of context setup requests that were successful,QOE,Network Accessibility,,,,,,,,,,
psS1mmeServiceRequestDelay,KPI,VOLTE Service Reqeust Delay (ms),Data request delay in Volte network,QOE,Network Accessibility,,,,,,,,,,
psS1mmeServiceRequestSuccessRate,KPI,VOLTE Service Request Success Rate (%),Data request success rate in Volte network  ,QOE,Network Accessibility,,,,,,,,,,
averageApplicationResponseTime,KPI,Application Response Time (s),"This KPI indicates the speed of access to a webpage/application accessed.  It is the delay from the moment the user requests the service and the moment the user sees the first web page content.  The lower the value the better the customer experience. HTTP access time, or the delay from the moment the user requests the desired web page and the moment the user sees the first web page content.",QOE,Service Accessibility,,,,,,,,,,
averageTimeToStart,KPI,Time to Start (s),This KPI measures the average time of the server response to a playback request from the client i.e. the time taken for a video to start playing post the user initiation or in case of a auto play video then it is the time taken for the video to start.,QOE,Service Accessibility,,,,,,,,,,
csAverageCallSetupDelay,KPI,CS Call Connect Delay (ms),"This KPI is the average time taken for a call to be connected to the dialled number.  The higher the time taken, the lower the customer experience.",QOE,Service Accessibility,,,,,,,,,,
csCallSetupFailRate,KPI,CS Blocked Calls (%),This KPI measures the percentage of calls that failed to be setup (eg blocked),QOE,Service Accessibility,,,,,,,,,,
httpResponseFailRate,KPI,Web (HTTP) Response Fail Rate (%),"
This KPI indicates  the availability of a webpage or application accessed by a subscriber. 

",QOE,Service Accessibility,,,,,,,,,,
voLteCallSetupFailRate,KPI,voLTE Blocked Calls (%),This KPI indicates the number of calls blocked before the connected to the dialled number,QOE,Service Accessibility,,,,,,,,,,
voLteConnectionDelay,KPI,voLTE Connection Delay (ms),This KPI indicates the delay experience before a call is connected to the dialled number.,QOE,Service Accessibility,,,,,,,,,,
voLteRegistrationFailRate,KPI,voLte Registration Fail (%),This KPI represents the percentage of failed registrations on volte,QOE,Service Accessibility,,,,,,,,,,
voLteSrvccFailRate,KPI,voLte Srvcc Fail (%),This KPI represents the percentage of SRVCC requests that failed.,QOE,Service Accessibility,,,,,,,,,,
tcpVolumeDl,KPI,Data Volume Download (mb),This KPI refers to total number of transmitted  packets as observed on the core network for TCP or UDP connection during the download of content from the external PDN,QOE,Usage,,,,,,,,,,
tcpVolumeUl,KPI,Data Volume Upload (mb),This KPI refers to total number of transmitted packets as observed on the core network for a TCP or UDP connection during the upload of content from the external PDN,QOE,Usage,,,,,,,,,,
sessionsPerAudioMosClass,counter,Sessions Per Audio Mos Class,Number of sessions in each MOS bucket (1-5),averageAudioMosDl,Integrity,Integrity-Audio MOS Down (#)-Sessions Per Audio Mos Class,8642.322581,,,,,,,,
usersPerAudioMosClass,counter,Users Per Audio Mos Class,Number of users in each MOS bucket (1-5),averageAudioMosDl,Integrity,Integrity-Audio MOS Down (#)-Users Per Audio Mos Class,8642.322581,,,,,,,,
usersDataSessions,counter,Users Data Sessions,Number of users Data Sessions,averageAudioMosDl,Integrity,Integrity-Audio MOS Down (#)-Users Data Sessions,8642.322581,,,,,,,,
dataSessions,counter,Data Sessions,Number of data Sessions,averageAudioMosDl,Integrity,Integrity-Audio MOS Down (#)-Data Sessions,8642.322581,,,,,,,,
successfulHttpResponses,counter,Successful HTTP Responses,Number of successful HTTP Responses,averageHttpThroughputPerUserDl,Integrity,Integrity-Throughput DL (mbps)-Successful HTTP Responses,8642.322581,,,,,,,,
usersHttpThroughputDlThresholdViolation,counter,Users HTTP Throughput Dl Threshold Violation,Number of users HTTP Throughput Dl Threshold Violation,averageHttpThroughputPerUserDl,Integrity,Integrity-Throughput DL (mbps)-Users HTTP Throughput Dl Threshold Violation,8642.322581,,,,,,,,
usersHttpResponses,counter,Users HTTP Responses,Number of users HTTP Responses,averageHttpThroughputPerUserDl,Integrity,Integrity-Throughput DL (mbps)-Users HTTP Responses,8642.322581,,,,,,,,
httpResponsesWithThroughputDlThresholdViolation,counter,HTTP Responses With Throughput Dl Threshold Violation,Number of HTTP Responses With Throughput Dl Threshold Violation,averageHttpThroughputPerUserDl,Integrity,Integrity-Throughput DL (mbps)-HTTP Responses With Throughput Dl Threshold Violation,8642.322581,,,,,,,,
httpRequests,counter,HTTP Requests,Number of HTTP Requests,averageHttpThroughputPerUserDl,Integrity,Integrity-Throughput DL (mbps)-HTTP Requests,8642.322581,,,,,,,,
httpResponsesPerThroughputDl,counter,HTTP Responses Per Throughput Dl,Number of HTTP Responses Per Throughput Dl,averageHttpThroughputPerUserDl,Integrity,Integrity-Throughput DL (mbps)-HTTP Responses Per Throughput Dl,8642.322581,,,,,,,,
usersHttpResponsesPerThroughputDl,counter,Users HTTP Responses Per Throughput Dl,Number of users HTTP Responses Per Throughput Dl,averageHttpThroughputPerUserDl,Integrity,Integrity-Throughput DL (mbps)-Users HTTP Responses Per Throughput Dl,8642.322581,,,,,,,,
usersHttpRequests,counter,Users HTTP Requests,Number of users HTTP Requests,averageHttpThroughputPerUserDl,Integrity,Integrity-Throughput DL (mbps)-Users HTTP Requests,8642.322581,,,,,,,,
httpResponses,counter,HTTP Responses,Number of HTTP Responses,averageHttpThroughputPerUserDl,Integrity,Integrity-Throughput DL (mbps)-HTTP Responses,8642.322581,,,,,,,,
usersSuccessfulHttpResponses,counter,Users Successful HTTP Responses,Number of users Successful HTTP Responses,averageHttpThroughputPerUserDl,Integrity,Integrity-Throughput DL (mbps)-Users Successful HTTP Responses,8642.322581,,,,,,,,
usersHttpResponsesPerThroughputUl,counter,Users HTTP Responses Per Throughput Ul,Number of users HTTP Responses Per Throughput Ul,averageHttpThroughputPerUserUl,Integrity,Integrity-Throughput UL (mbps)-Users HTTP Responses Per Throughput Ul,8642.322581,,,,,,,,
httpResponsesPerThroughputUl,counter,HTTP Responses Per Throughput Ul,Number of HTTP Responses Per Throughput Ul,averageHttpThroughputPerUserUl,Integrity,Integrity-Throughput UL (mbps)-HTTP Responses Per Throughput Ul,8642.322581,,,,,,,,
usersHttpThroughputUlThresholdViolation,counter,Users HTTP Throughput Ul Threshold Violation,Number of users HTTP Throughput Ul Threshold Violation,averageHttpThroughputPerUserUl,Integrity,Integrity-Throughput UL (mbps)-Users HTTP Throughput Ul Threshold Violation,8642.322581,,,,,,,,
httpResponsesWithThroughputUlThresholdViolation,counter,HTTP Responses With Throughput Ul Threshold Violation,Number of HTTP Responses With Throughput Ul Threshold Violation,averageHttpThroughputPerUserUl,Integrity,Integrity-Throughput UL (mbps)-HTTP Responses With Throughput Ul Threshold Violation,8642.322581,,,,,,,,
successfulHttpResponses,counter,Successful HTTP Responses,Number of successful HTTP Responses,averageHttpThroughputPerUserUl,Integrity,Integrity-Throughput UL (mbps)-Successful HTTP Responses,8642.322581,,,,,,,,
usersHttpRequests,counter,Users HTTP Requests,Number of users HTTP Requests,averageHttpThroughputPerUserUl,Integrity,Integrity-Throughput UL (mbps)-Users HTTP Requests,8642.322581,,,,,,,,
httpResponses,counter,HTTP Responses,Number of HTTP Responses,averageHttpThroughputPerUserUl,Integrity,Integrity-Throughput UL (mbps)-HTTP Responses,8642.322581,,,,,,,,
usersSuccessfulHttpResponses,counter,Users Successful HTTP Responses,Number of users Successful HTTP Responses,averageHttpThroughputPerUserUl,Integrity,Integrity-Throughput UL (mbps)-Users Successful HTTP Responses,8642.322581,,,,,,,,
httpRequests,counter,HTTP Requests,Number of HTTP Requests,averageHttpThroughputPerUserUl,Integrity,Integrity-Throughput UL (mbps)-HTTP Requests,8642.322581,,,,,,,,
usersHttpResponses,counter,Users HTTP Responses,Number of users HTTP Responses,averageHttpThroughputPerUserUl,Integrity,Integrity-Throughput UL (mbps)-Users HTTP Responses,8642.322581,,,,,,,,
packetJitterDl,counter,Packet Jitter Dl,Number of packet Jitter Dl,averageJitterDl,Integrity,Integrity-Jitter DL (ms)-Packet Jitter Dl,8642.322581,,,,,,,,
usersTcpPacketsTransmittedDl,counter,Users Tcp Packets Transmitted Dl,Number of users Tcp Packets Transmitted Dl,averageJitterDl,Integrity,Integrity-Jitter DL (ms)-Users Tcp Packets Transmitted Dl,8642.322581,,,,,,,,
usersAverageJitterDlThresholdViolation,counter,Users Average Jitter Dl Threshold Violation,Number of users Average Jitter Dl Threshold Violation,averageJitterDl,Integrity,Integrity-Jitter DL (ms)-Users Average Jitter Dl Threshold Violation,8642.322581,,,,,,,,
usersPacketJitterDl,counter,Users Packet Jitter Dl,Number of users Packet Jitter Dl,averageJitterDl,Integrity,Integrity-Jitter DL (ms)-Users Packet Jitter Dl,8642.322581,,,,,,,,
averageJitterDlThresholdViolation,counter,Average Jitter Dl Threshold Violation,Number of average Jitter Dl Threshold Violation,averageJitterDl,Integrity,Integrity-Jitter DL (ms)-Average Jitter Dl Threshold Violation,8642.322581,,,,,,,,
packetJitterUl,counter,Packet Jitter Ul,Number of packet Jitter Ul,averageJitterUl,Integrity,Integrity-Jitter UL (ms)-Packet Jitter Ul,8642.322581,,,,,,,,
usersTcpPacketsTransmittedUl,counter,Users Tcp Packets Transmitted Ul,Number of users Tcp Packets Transmitted Ul,averageJitterUl,Integrity,Integrity-Jitter UL (ms)-Users Tcp Packets Transmitted Ul,8642.322581,,,,,,,,
averageJitterUlThresholdViolation,counter,Average Jitter Ul Threshold Violation,Number of average Jitter Ul Threshold Violation,averageJitterUl,Integrity,Integrity-Jitter UL (ms)-Average Jitter Ul Threshold Violation,8642.322581,,,,,,,,
usersPacketJitterUl,counter,Users Packet Jitter Ul,Number of users Packet Jitter Ul,averageJitterUl,Integrity,Integrity-Jitter UL (ms)-Users Packet Jitter Ul,8642.322581,,,,,,,,
usersAverageJitterUlThresholdViolation,counter,Users Average Jitter Ul Threshold Violation,Number of users Average Jitter Ul Threshold Violation,averageJitterUl,Integrity,Integrity-Jitter UL (ms)-Users Average Jitter Ul Threshold Violation,8642.322581,,,,,,,,
sessionsPerVideoMosClass,counter,Sessions Per Video Mos Class,Number of sessions Per Video Mos Class,averageVideoMosDl,Integrity,Integrity-Video MOS DL (#)-Sessions Per Video Mos Class,8642.322581,,,,,,,,
usersDataSessions,counter,Users Data Sessions,Number of users Data Sessions,averageVideoMosDl,Integrity,Integrity-Video MOS DL (#)-Users Data Sessions,8642.322581,,,,,,,,
usersPerVideoMosClass,counter,Users Per Video Mos Class,Number of users Per Video Mos Class,averageVideoMosDl,Integrity,Integrity-Video MOS DL (#)-Users Per Video Mos Class,8642.322581,,,,,,,,
dataSessions,counter,Data Sessions,Number of data Sessions,averageVideoMosDl,Integrity,Integrity-Video MOS DL (#)-Data Sessions,8642.322581,,,,,,,,
csImsiAttachFailures,counter,Cs Imsi Attach Failures,Number of cs Imsi Attach Failures,csImsiAttachFailRate,Integrity,Integrity-CS Attachment Failure Rate (%)-Cs Imsi Attach Failures,8642.322581,,,,,,,,
usersCsImsiAttachAttempts,counter,Users Cs Imsi Attach Attempts,Number of users Cs Imsi Attach Attempts,csImsiAttachFailRate,Integrity,Integrity-CS Attachment Failure Rate (%)-Users Cs Imsi Attach Attempts,8642.322581,,,,,,,,
csImsiAttachAttempts,counter,Cs Imsi Attach Attempts,Number of cs Imsi Attach Attempts,csImsiAttachFailRate,Integrity,Integrity-CS Attachment Failure Rate (%)-Cs Imsi Attach Attempts,8642.322581,,,,,,,,
usersCsImsiAttachFailures,counter,Users Cs Imsi Attach Failures,Number of users Cs Imsi Attach Failures,csImsiAttachFailRate,Integrity,Integrity-CS Attachment Failure Rate (%)-Users Cs Imsi Attach Failures,8642.322581,,,,,,,,
csLocationUpdateFailures,counter,Cs Location Update Failures,Number of cs Location Update Failures,csLocationUpdateFailRate,Integrity,Integrity-CS GPS Failure Rate (%)-Cs Location Update Failures,8642.322581,,,,,,,,
usersCsLocationUpdateAttempts,counter,Users Cs Location Update Attempts,Number of users Cs Location Update Attempts,csLocationUpdateFailRate,Integrity,Integrity-CS GPS Failure Rate (%)-Users Cs Location Update Attempts,8642.322581,,,,,,,,
csLocationUpdateAttempts,counter,Cs Location Update Attempts,Number of cs Location Update Attempts,csLocationUpdateFailRate,Integrity,Integrity-CS GPS Failure Rate (%)-Cs Location Update Attempts,8642.322581,,,,,,,,
usersCsLocationUpdateFailures,counter,Users Cs Location Update Failures,Number of users Cs Location Update Failures,csLocationUpdateFailRate,Integrity,Integrity-CS GPS Failure Rate (%)-Users Cs Location Update Failures,8642.322581,,,,,,,,
csCallAnswer,counter,Cs Call Answer,Number of cs Call Answer,csMos,Integrity,Integrity-CS MOS (#)-Cs Call Answer,8642.322581,,,,,,,,
userscsCallAnswer,counter,Userscs Call Answer,Number of userscs Call Answer,csMos,Integrity,Integrity-CS MOS (#)-Userscs Call Answer,8642.322581,,,,,,,,
usersCsCallAnswerPerMosClass,counter,Users Cs Call Answer Per Mos Class,Number of users Cs Call Answer Per Mos Class,csMos,Integrity,Integrity-CS MOS (#)-Users Cs Call Answer Per Mos Class,8642.322581,,,,,,,,
csCallAnswerPerMosClass,counter,Cs Call Answer Per Mos Class,Number of cs Call Answer Per Mos Class,csMos,Integrity,Integrity-CS MOS (#)-Cs Call Answer Per Mos Class,8642.322581,,,,,,,,
usersTcpPacketsRetransmittedDl,counter,Users Tcp Packets Retransmitted Dl,Number of users Tcp Packets Retransmitted Dl,tcpPacketRetransmissionRateDl,Integrity,Integrity-Data Packet Retransmission Rate DL (%)-Users Tcp Packets Retransmitted Dl,8642.322581,,,,,,,,
tcpPacketsRetransmittedDl,counter,Tcp Packets Retransmitted Dl,Number of tcp Packets Retransmitted Dl,tcpPacketRetransmissionRateDl,Integrity,Integrity-Data Packet Retransmission Rate DL (%)-Tcp Packets Retransmitted Dl,8642.322581,,,,,,,,
usersTcpPacketsTransmittedDl,counter,Users Tcp Packets Transmitted Dl,Number of users Tcp Packets Transmitted Dl,tcpPacketRetransmissionRateDl,Integrity,Integrity-Data Packet Retransmission Rate DL (%)-Users Tcp Packets Transmitted Dl,8642.322581,,,,,,,,
tcpPacketsTransmittedDl,counter,Tcp Packets Transmitted Dl,Number of tcp Packets Transmitted Dl,tcpPacketRetransmissionRateDl,Integrity,Integrity-Data Packet Retransmission Rate DL (%)-Tcp Packets Transmitted Dl,8642.322581,,,,,,,,
usersTcpPacketsRetransmittedUl,counter,Users Tcp Packets Retransmitted Ul,Number of users Tcp Packets Retransmitted Ul,tcpPacketRetransmissionRateUl,Integrity,Integrity-Data Packet Retransmission Rate UL (%)-Users Tcp Packets Retransmitted Ul,8642.322581,,,,,,,,
usersTcpPacketsTransmittedUl,counter,Users Tcp Packets Transmitted Ul,Number of users Tcp Packets Transmitted Ul,tcpPacketRetransmissionRateUl,Integrity,Integrity-Data Packet Retransmission Rate UL (%)-Users Tcp Packets Transmitted Ul,8642.322581,,,,,,,,
tcpPacketsRetransmittedUl,counter,Tcp Packets Retransmitted Ul,Number of tcp Packets Retransmitted Ul,tcpPacketRetransmissionRateUl,Integrity,Integrity-Data Packet Retransmission Rate UL (%)-Tcp Packets Retransmitted Ul,8642.322581,,,,,,,,
tcpPacketsTransmittedUl,counter,Tcp Packets Transmitted Ul,Number of tcp Packets Transmitted Ul,tcpPacketRetransmissionRateUl,Integrity,Integrity-Data Packet Retransmission Rate UL (%)-Tcp Packets Transmitted Ul,8642.322581,,,,,,,,
voLteCallAnswerPerMosClass,counter,voLTE Call Answer Per Mos Class,Number of voLTE Call Answer Per Mos Class,voLteMos,Integrity,Integrity-voLTE MOS (#)-voLTE Call Answer Per Mos Class,8642.322581,,,,,,,,
usersvoLteCallAnswerPerMosClass,counter,UsersvoLTE Call Answer Per Mos Class,Number of usersvoLTE Call Answer Per Mos Class,voLteMos,Integrity,Integrity-voLTE MOS (#)-UsersvoLTE Call Answer Per Mos Class,8642.322581,,,,,,,,
usersVoLteCallAnswer,counter,Users voLTE Call Answer,Number of users voLTE Call Answer,voLteMos,Integrity,Integrity-voLTE MOS (#)-Users voLTE Call Answer,8642.322581,,,,,,,,
voLteCallAnswer,counter,voLTE Call Answer,Number of voLTE Call Answer,voLteMos,Integrity,Integrity-voLTE MOS (#)-voLTE Call Answer,8642.322581,,,,,,,,
usersPsHoResponsePerDelay,counter,Users Ps Ho Response Per Delay,Number of users Ps Ho Response Per Delay,psHoDelay,Mobility,Mobility-PS Handover Delay (ms)-Users Ps Ho Response Per Delay,2480.666667,,,,,,,,
psHoResponsePerDelay,counter,Ps Ho Response Per Delay,Number of ps Ho Response Per Delay,psHoDelay,Mobility,Mobility-PS Handover Delay (ms)-Ps Ho Response Per Delay,2480.666667,,,,,,,,
psHoWithResponseTimeThresholdViolation,counter,Ps Ho With Response Time Threshold Violation,Number of ps Ho With Response Time Threshold Violation,psHoDelay,Mobility,Mobility-PS Handover Delay (ms)-Ps Ho With Response Time Threshold Violation,2480.666667,,,,,,,,
usersPsHoWithResponseTimeThresholdViolation,counter,Users Ps Ho With Response Time Threshold Violation,Number of users Ps Ho With Response Time Threshold Violation,psHoDelay,Mobility,Mobility-PS Handover Delay (ms)-Users Ps Ho With Response Time Threshold Violation,2480.666667,,,,,,,,
usersPsHoResponses,counter,Users Ps Ho Responses,Number of users Ps Ho Responses,psHoDelay,Mobility,Mobility-PS Handover Delay (ms)-Users Ps Ho Responses,2480.666667,,,,,,,,
psHoResponses,counter,Ps Ho Responses,Number of ps Ho Responses,psHoDelay,Mobility,Mobility-PS Handover Delay (ms)-Ps Ho Responses,2480.666667,,,,,,,,
psHoResponsesPerEmmEstablishmentCauseCode,counter,Ps Ho Responses Per Emm Establishment Cause Code,Number of ps Ho Responses Per Emm Establishment Cause Code,psHoSuccessRate,Mobility,Mobility-PS Handover Success Rate (%)-Ps Ho Responses Per Emm Establishment Cause Code,2480.666667,,,,,,,,
psHoResponsesPerRanapCauseCode,counter,Ps Ho Responses Per Ranap Cause Code,Number of ps Ho Responses Per Ranap Cause Code,psHoSuccessRate,Mobility,Mobility-PS Handover Success Rate (%)-Ps Ho Responses Per Ranap Cause Code,2480.666667,,,,,,,,
usersFailedPsHoResponsesWithSccpCause,counter,Users Failed Ps Ho Responses With Sccp Cause,Number of users Failed Ps Ho Responses With Sccp Cause,psHoSuccessRate,Mobility,Mobility-PS Handover Success Rate (%)-Users Failed Ps Ho Responses With Sccp Cause,2480.666667,,,,,,,,
usersPsHoResponsesWithBssgpCause,counter,Users Ps Ho Responses With Bssgp Cause,Number of users Ps Ho Responses With Bssgp Cause,psHoSuccessRate,Mobility,Mobility-PS Handover Success Rate (%)-Users Ps Ho Responses With Bssgp Cause,2480.666667,,,,,,,,
usersPsHoResponsesPerBssgpCauseCode,counter,Users Ps Ho Responses Per Bssgp Cause Code,Number of users Ps Ho Responses Per Bssgp Cause Code,psHoSuccessRate,Mobility,Mobility-PS Handover Success Rate (%)-Users Ps Ho Responses Per Bssgp Cause Code,2480.666667,,,,,,,,
usersPsHoResponses,counter,Users Ps Ho Responses,Number of users Ps Ho Responses,psHoSuccessRate,Mobility,Mobility-PS Handover Success Rate (%)-Users Ps Ho Responses,2480.666667,,,,,,,,
usersPsHoResponsesPerRanapCauseCode,counter,Users Ps Ho Responses Per Ranap Cause Code,Number of users Ps Ho Responses Per Ranap Cause Code,psHoSuccessRate,Mobility,Mobility-PS Handover Success Rate (%)-Users Ps Ho Responses Per Ranap Cause Code,2480.666667,,,,,,,,
psHoResponsesWithSmCause,counter,Ps Ho Responses With Sm Cause,Number of ps Ho Responses With Sm Cause,psHoSuccessRate,Mobility,Mobility-PS Handover Success Rate (%)-Ps Ho Responses With Sm Cause,2480.666667,,,,,,,,
psHoResponsesWithRadioCause,counter,Ps Ho Responses With Radio Cause,Number of ps Ho Responses With Radio Cause,psHoSuccessRate,Mobility,Mobility-PS Handover Success Rate (%)-Ps Ho Responses With Radio Cause,2480.666667,,,,,,,,
psHoResponsesWithBssgpCause,counter,Ps Ho Responses With Bssgp Cause,Number of ps Ho Responses With Bssgp Cause,psHoSuccessRate,Mobility,Mobility-PS Handover Success Rate (%)-Ps Ho Responses With Bssgp Cause,2480.666667,,,,,,,,
psHoResponsesPerRrcEstablishmentCauseCode,counter,Ps Ho Responses Per Rrc Establishment Cause Code,Number of ps Ho Responses Per Rrc Establishment Cause Code,psHoSuccessRate,Mobility,Mobility-PS Handover Success Rate (%)-Ps Ho Responses Per Rrc Establishment Cause Code,2480.666667,,,,,,,,
psHoResponsesPerBssgpCauseCode,counter,Ps Ho Responses Per Bssgp Cause Code,Number of ps Ho Responses Per Bssgp Cause Code,psHoSuccessRate,Mobility,Mobility-PS Handover Success Rate (%)-Ps Ho Responses Per Bssgp Cause Code,2480.666667,,,,,,,,
